id,no_register,peminjam,email,kegiatan,no_hak,jenis_hak,desa,kecamatan,no_su,no_warkah,no_ht,status,catatan,tgl_pengajuan,tgl_update,created_by,created_at,updated_at,tipe,dikonfirmasi_oleh,tgl_konfirmasi,no_berkas_pnbp,tahun,jenis_peminjaman,file_pengamanan_url
5162ffa5-d4c2-424a-b319-02123ec4267f,REG-2026-26715,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,9432,HM,Kalideres,Kalideres,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-18 02:21:40.721+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-18 02:21:40.74495+00,register,Agus Ajat,2026-06-11 09:01:53.453+00,,,BT,
a21b207a-fb58-4e41-83b7-10c56f273938,REG-2026-26716,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,9758,HGB,Kalideres,Kalideres,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-18 02:18:11.79+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-18 02:18:11.788011+00,register,Agus Ajat,2026-06-11 07:15:28.592+00,,,BT,
f004c98c-0f17-42db-a1d4-9d3c42c9ab63,REG-2026-26717,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,1897,HM,Kapuk,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:28.679+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:28.717152+00,register,Agus Ajat,2026-06-11 07:15:28.679+00,,,BT,
276bb12a-17f6-4fcf-b178-a476addf3d97,REG-2026-26718,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,1890,HM,Kapuk,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:28.869+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:28.904838+00,register,Agus Ajat,2026-06-11 07:15:28.869+00,,,BT,
9f330704-4b6a-459a-8b0f-e320a5cae86b,REG-2026-26719,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,1952,HM,Kapuk,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:28.938+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:28.976991+00,register,Agus Ajat,2026-06-11 07:15:28.938+00,,,BT,
be88718f-c4a0-4108-b127-84ddce49c25a,REG-2026-10020,PRIORITAS — DANNY,prioritas@gmail.com,SKPT,11023,HM,Cengkareng Barat,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:23:51.677087+00,2026-06-11 07:36:35.009+00,prioritas,2026-06-11 07:23:51.677087+00,2026-06-11 07:36:35.041523+00,register,Agus Ajat,2026-06-11 07:36:35.009+00,,,BT,
bdff187d-33ef-453f-bbb1-acdb0c3ccc10,REG-2026-70170,PRIORITAS — DISTA,prioritas@gmail.com,ROYA,7337,HGB,Duri Kosambi,Cengkareng,,,8120/2018,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:26:27.133051+00,2026-06-11 07:36:34.952+00,prioritas,2026-06-11 07:26:27.133051+00,2026-06-11 07:36:34.985255+00,register,Agus Ajat,2026-06-11 07:36:34.952+00,,,BT & HT,
1322a76b-decf-46d7-ba07-3007c2a8fbc3,REG-2026-49860,PRIORITAS — novi,prioritas@gmail.com,SKPT,6815,HGB,Joglo,Kembangan,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:35:45.102087+00,2026-06-17 07:19:59.355+00,prioritas,2026-06-11 07:35:45.102087+00,2026-06-17 07:19:59.406445+00,register,Agus Ajat,2026-06-11 07:36:34.868+00,,,BT,
f1c12295-2920-497c-99a5-b35e1e6c50a2,REG-2026-18370,PHP — ESTI,januarahdiansyah@gmail.com,REVISI / DOUBLE HAK,5077,HM,Cengkareng Barat,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:50:42.471812+00,2026-06-11 08:13:10.795+00,agusajat,2026-06-11 07:50:42.471812+00,2026-06-11 08:13:10.825859+00,register,Agus Ajat,2026-06-11 08:13:10.795+00,,,BT,
7bb01072-d641-49ca-84f7-2ee095ab4066,REG-2026-93050,PRIORITAS — DANNY,prioritas@gmail.com,PENDAFTARAN SK,9129,HGB,Kalideres,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:51:19.694072+00,2026-06-11 08:04:21.911+00,prioritas,2026-06-11 07:51:19.694072+00,2026-06-11 08:04:21.941321+00,register,Agus Ajat,2026-06-11 08:04:21.911+00,,,BT,
9e4d3046-6661-468e-a6d0-75e856685e3b,REG-2026-78290,PHP — HILDA,januarahdiansyah@gmail.com,VALIDASI / ALIH MEDIA,812,HGB,Krendang,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:58:28.463062+00,2026-06-11 08:04:21.842+00,agusajat,2026-06-11 07:58:28.463062+00,2026-06-11 08:04:21.88038+00,register,Agus Ajat,2026-06-11 08:04:21.842+00,,,BT,
45f38573-a59a-4cd8-ab01-979792078621,REG-2026-16140,PHP — ESTI,januarahdiansyah@gmail.com,PEMEKARAN DESA,1645,HM,Kedoya Utara,Kebon Jeruk,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.497+00,agusajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.531972+00,register,Agus Ajat,2026-06-11 08:13:10.497+00,,,BT,
70629c10-68d4-46a3-bcfd-0773fcb20122,REG-2026-16141,PHP — ESTI,januarahdiansyah@gmail.com,PEMEKARAN DESA,1646,HM,Kedoya Utara,Kebon Jeruk,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.56+00,agusajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.590779+00,register,Agus Ajat,2026-06-11 08:13:10.56+00,,,BT,
aaf7733f-a23b-4c02-bb08-3c2a070198ef,REG-2026-16142,PHP — ESTI,januarahdiansyah@gmail.com,PEMEKARAN DESA,1647,HM,Kedoya Utara,Kebon Jeruk,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.616+00,agusajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.645844+00,register,Agus Ajat,2026-06-11 08:13:10.616+00,,,BT,
a8c9ca33-b2c8-4af7-92e8-281a3f54c762,REG-2026-16143,PHP — ESTI,januarahdiansyah@gmail.com,PEMEKARAN DESA,504,HM,Duri Utara,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.672+00,agusajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.708307+00,register,Agus Ajat,2026-06-11 08:13:10.672+00,,,BT,
73f5328f-8781-4251-930a-83af6e0650c8,REG-2026-16144,PHP — ESTI,januarahdiansyah@gmail.com,PEMEKARAN DESA,497,HM,Duri Utara,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.734+00,agusajat,2026-06-11 08:02:52.267238+00,2026-06-11 08:13:10.765948+00,register,Agus Ajat,2026-06-11 08:13:10.734+00,,,BT,
ea19d97f-9e51-44b2-a031-122773ac60e4,REG-2026-53100,PHP — DANANG / ALMED,januarahdiansyah@gmail.com,VALIDASI / ALIH MEDIA,799,HM,Jelambar Baru,Grogol Petamburan,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:12:36.321678+00,2026-06-11 08:12:57.138+00,agusajat,2026-06-11 08:12:36.321678+00,2026-06-11 08:12:57.172965+00,register,Agus Ajat,2026-06-11 08:12:57.138+00,,,BT,
8f9d284b-3944-47f1-8945-ee7457932505,REG-2026-53101,PHP — DANANG / ALMED,januarahdiansyah@gmail.com,VALIDASI / ALIH MEDIA,12093,HM,Meruya Utara,Kembangan,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:12:36.321678+00,2026-06-11 08:12:57.212+00,agusajat,2026-06-11 08:12:36.321678+00,2026-06-11 08:12:57.242765+00,register,Agus Ajat,2026-06-11 08:12:57.212+00,,,BT,
cd8d53cf-dde3-485d-b972-ce34d38faff6,REG-2026-37330,PHP — DANANG/PAK WIDODO,januarahdiansyah@gmail.com,KONSULTASI,1456,HGB,Roa Malaka,Tambora,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:18:34.459721+00,2026-06-11 09:50:01.291+00,agusajat,2026-06-11 08:18:34.459721+00,2026-06-11 09:50:01.303003+00,register,Agus Ajat,2026-06-11 08:18:50.777+00,,,BT,
6cff055b-f8b9-4981-956d-ae1254c6d837,REG-2026-96960,PHP — ESTI,januarahdiansyah@gmail.com,BALAS SURAT,11923,HM,Cengkareng Timur,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:22:30.372784+00,2026-06-11 08:22:53.697+00,agusajat,2026-06-11 08:22:30.372784+00,2026-06-11 08:22:53.722943+00,register,Agus Ajat,2026-06-11 08:22:53.697+00,,,BT,
2b438bc4-81bb-4318-93f4-d54cdbcea669,REG-2026-96961,PHP — ESTI,januarahdiansyah@gmail.com,BALAS SURAT,2047,HGB,Tangki,Taman Sari,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:22:30.372784+00,2026-06-11 08:22:53.755+00,agusajat,2026-06-11 08:22:30.372784+00,2026-06-11 08:22:53.782468+00,register,Agus Ajat,2026-06-11 08:22:53.755+00,,,BT,
ee79b5ac-a048-4dfe-ae4f-6d2db9638d3e,REG-2026-93321,PHP — DANI PRAKOSO,januarahdiansyah@gmail.com,BALAS SURAT,12151,HM,Pegadungan,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:26:39.992746+00,2026-06-11 08:27:18.294+00,agusajat,2026-06-11 08:26:39.992746+00,2026-06-11 08:27:18.30602+00,register,Agus Ajat,2026-06-11 08:27:18.294+00,,,BT,
87a2ad4c-2984-491f-9d3f-57ed1f1efa3a,REG-2026-93322,PHP — DANI PRAKOSO,januarahdiansyah@gmail.com,BALAS SURAT,13,HM,Jembatan Besi,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 08:26:39.992746+00,2026-06-11 08:27:18.359+00,agusajat,2026-06-11 08:26:39.992746+00,2026-06-11 08:27:18.369291+00,register,Agus Ajat,2026-06-11 08:27:18.359+00,,,BT,
171b6d8b-fb49-42b4-80e5-20653904c29e,REG-2026-36870,PHP — DANI PRAKOSO,januarahdiansyah@gmail.com,BALAS SURAT,1119,HM,Krukut,Taman Sari,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 09:53:14.427842+00,2026-06-11 09:53:40.452+00,agusajat,2026-06-11 09:53:14.427842+00,2026-06-11 09:53:40.446794+00,register,Agus Ajat,2026-06-11 09:53:40.452+00,,,BT,
ad4445e8-6baf-4f51-94b9-de5229c376aa,REG-2026-60860,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,239,HM,Sukabumi Selatan,Kebon Jeruk,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 09:55:56.834331+00,2026-06-11 09:56:11.125+00,agusajat,2026-06-11 09:55:56.834331+00,2026-06-11 09:56:11.125753+00,register,Agus Ajat,2026-06-11 09:56:11.125+00,,,BT,
2c6c1f38-5b2c-4abc-8d2f-ab84bb7625b8,REG-2026-66090,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERUBAHAN HAK,8083,HGB,Srengseng,Kembangan,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:17:28.285877+00,2026-06-11 10:35:17.923+00,kuasa,2026-06-11 10:17:28.285877+00,2026-06-11 10:35:17.923883+00,register,Agus Ajat,2026-06-11 10:35:17.923+00,,,,
b7f450ce-05d1-4acb-9f38-a1b5ca66502b,REG-2026-55390,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERUBAHAN HAK,8110,HGB,Srengseng,Kembangan,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:18:17.211793+00,2026-06-11 10:33:17.335+00,kuasa,2026-06-11 10:18:17.211793+00,2026-06-11 10:33:17.336178+00,register,Agus Ajat,2026-06-11 10:33:17.335+00,,,BT,
d7ba4203-4c30-4368-8916-0d2ca4f9a1ec,REG-2026-41420,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERALIHAN HAK JUAL BELI,136,HM,Tambora,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:19:35.823384+00,2026-06-11 11:34:03.035+00,kuasa,2026-06-11 10:19:35.823384+00,2026-06-11 11:34:03.092083+00,register,Agus Ajat,2026-06-11 11:34:03.035+00,,,BT,
227cef97-b53a-4f35-af52-067c5e551744,REG-2026-04600,KUASA — RIKI OKTAVIAN,kuasa@gmail.com,PEMECAHAN,02284,HM,Kalideres,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:20:13.86479+00,2026-06-11 10:33:36.963+00,kuasa,2026-06-11 10:20:13.86479+00,2026-06-11 10:33:36.963047+00,register,Agus Ajat,2026-06-11 10:33:36.963+00,,,BT,
9e75c5d3-dbac-402d-83c8-832846e009b1,REG-2026-96970,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERALIHAN HAK WARIS,426,HM,Pinangsia,Taman Sari,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:25:41.405336+00,2026-06-11 11:35:24.83+00,kuasa,2026-06-11 10:25:41.405336+00,2026-06-11 11:35:24.889174+00,register,Agus Ajat,2026-06-11 11:35:24.83+00,,,,
64f22ec5-97cc-4372-886d-8e9814e86bcb,REG-2026-96971,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERALIHAN HAK WARIS,5774,HGB,Meruya Utara,Kembangan,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:25:41.405336+00,2026-06-11 11:39:53.494+00,kuasa,2026-06-11 10:25:41.405336+00,2026-06-11 11:39:53.553483+00,register,Agus Ajat,2026-06-11 11:39:53.494+00,,,,
2f8b1e3a-789f-4fef-9845-8b9c9e9cf8e9,REG-2026-96972,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERALIHAN HAK WARIS,6480,HM,Kalideres,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:25:41.405336+00,2026-06-12 03:02:05.414+00,kuasa,2026-06-11 10:25:41.405336+00,2026-06-12 03:02:05.483907+00,register,Agus Ajat,2026-06-12 03:02:05.414+00,,,,
d2e4ed39-857f-490c-8b81-55a4a676eb30,REG-2026-96973,KUASA — RIA OKTAVIANTI,kuasa@gmail.com,PERALIHAN HAK WARIS,5537,HM,Kalideres,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:25:41.405336+00,2026-06-11 11:34:48.472+00,kuasa,2026-06-11 10:25:41.405336+00,2026-06-11 11:34:48.530054+00,register,Agus Ajat,2026-06-11 11:34:48.472+00,,,,
385ebb54-c46a-43a8-8b51-36bdaf8203c7,REG-2026-62600,KUASA — ANDRE,kuasa@gmail.com,PERALIHAN HAK HIBAH,1390,HM,Kota Bambu Utara,Palmerah,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 10:25:46.685873+00,2026-06-11 11:36:08.097+00,kuasa,2026-06-11 10:25:46.685873+00,2026-06-11 11:36:08.152688+00,register,Agus Ajat,2026-06-11 11:36:08.097+00,,,BT,
